date,discharge_mA,mAh_d,time_d,v_end_d,charge_mA,mAh_c,time_c,v_end_c,Wh_d,Wh_c
2026-04-03,,,,,355,1121,189,9.13,,5.7
2026-04-03,200,351,103,9.02,355,1101,186,9.12,3.2,5.6
