date,discharge mA,discharge mAh,discharge time,discharge voltage,charge mA,charge mAh,charge time,charge voltage,discharge Wh,charge Wh
2026-04-13,100,15,9,7.64,100,24,14,8.01,0.1,0.2
2026-04-13,100,17,10,7.54,100,38,22,8.08,0.1,0.3
2026-04-13,100,18,11,7.53,100,41,24,8.09,0.1,0.3
2026-04-13,100,17,11,7.52,100,45,27,8.06,0.1,0.3
2026-04-13,100,17,10,7.58,100,40,24,8.02,0.1,0.3
2026-04-14,100,15,9,7.62,100,33,20,8.04,0.1,0.2
