date,discharge mA,discharge mAh,discharge time,discharge voltage,charge mA,charge mAh,charge time,charge voltage,discharge Wh,charge Wh
2026-04-10,200,104,31,6.97,200,228,68,8.03,0.8,1.7
2026-04-11,100,135,135,7.21,100,403,236,8.15,1.0,3.0
2026-04-11,100,154,89,7.30,100,450,263,8.21,1.1,3.3
2026-04-11,200,173,51,6.93,200,232,69,8.033,1.3,1.7
2026-04-11,100,140,81,7.15,200,258,77,8.04,1.0,1.9
2026-04-12,200,149,44,7.37,200,221,65,8.07,1.1,1.6
2026-04-12,200,145,43,7.34,200,232,69,8.06,1.1,1.7
